Key,NoTranslate,English,Russian
,,,
AL_Block_WorkstationKiln,,[ffc070]Kiln[-],[ffc070]Печь[-]
AL_Block_WorkstationKilnDesc,,"A clay [ffc070]kiln[-]. With a mould, a lot of heat, and some time, it'll provide produce the bricks you need for a stronger base.","Глиняная [ffc070]печь[-]. С помощью формы, большого количества тепла и некоторого времени можно изготовить кирпичи, необходимые для более прочного основания."
,,,
AL_Block_WorkstationResearchDesk,,[ffc070]Research Desk[-],[ffc070]Исследовательский отдел[-]
AL_Block_WorkstationResearchDeskDesc,,"A place to rub one's chin or stroke one's beard while pensively casting an empty gaze across the room, apparently as part of an effort to derive valuable knowledge from duplicate and unwanted literature.","Место, где можно потереть подбородок или погладить бороду, задумчиво окинув комнату пустым взглядом, очевидно, в рамках попытки извлечь ценные знания из повторяющейся и ненужной литературы."
,,,
AL_Block_CartographyTable,,[ffc070]Cartography Table[-],[ffc070]Картографический стол[-]
AL_Block_CartographyTableDesc,,"The [ffc070]Cartography Table[-] is a great place to pose intently while pointing at the map so you can feel like you're a military general. Alternatively, it's a place to secure and share your map exploration progress.","[ffc070]Картографический стол[-] — отличное место, где можно внимательно позировать, указывая на карту, и почувствовать себя военным генералом. Кроме того, это место, где можно хранить и делиться своим прогрессом в исследовании карты."
,,,
AL_Block_TerrOreLimestone,,[ffc070]Limestone Ore Block[-] (Dev Item),[ffc070]Блок известняковой руды[-] (предмет для разработчиков)
AL_Block_TerrOreLimestoneDesc,,Limestone ore terrain block.,Блок местности с известняковой рудой.
,,,
AL_Block_TerrOreGarnierite,,[ffc070]Garnierite Ore Block[-] (Dev Item),[ffc070]Гарниеритовый рудный блок[-] (предмет для разработчиков)
AL_Block_TerrOreGarnieriteDesc,,Source of nickel.,Источник никеля.
,,,
AL_Block_TerrOreChromite,,[ffc070]Chromite Ore Block[-] (Dev Item),[ffc070]Блок хромитовой руды[-] (предмет для разработчиков)
AL_Block_TerrOreChromiteDesc,,Source of chromium.,Источник хрома.
,,,
AL_Block_TerrOreGalena,,[ffc070]Galena Ore Block[-] (Dev Item),[ffc070]Рудный блок Галенита[-] (предмет для разработчиков)
AL_Block_TerrOreGalenaDesc,,Galena ore terrain block.,Блок местности с рудой Галенит.
,,,
AL_Block_TerrOreChalcopyrite,,[ffc070]Chalcopyrite Ore Block[-] (Dev Item),[ffc070]Блок халькопиритовой руды[-] (предмет для разработчиков)
AL_Block_TerrOreChalcopyriteDesc,,Chalcopyrite ore terrain block.,Блок местности халькопиритовой руды.
,,,
AL_Block_TerrOreAnthracite,,[ffc070]Anthracite Ore Block[-] (Dev Item),[ffc070]Блок антрацитовой руды[-] (предмет для разработчиков)
AL_Block_TerrOreAnthraciteDesc,,Anthracite ore terrain block.,Блок местности антрацитовой руды.
,,,
AL_Block_TerrAnthracite,,[ffc070]Anthracite Block[-] (Dev Item),[ffc070]Антрацитовый блок[-] (предмет для разработчиков)
AL_Block_TerrAnthraciteDesc,,Anthracite boulder block. Marks anthracite veins.,Антрацитовый валунный блок. Отмечает антрацитовые жилки.
,,,
AL_Block_GarnieriteBoulder,,[ffc070]Garnierite Boulder[-] (Dev Block),[ffc070]Гарниеритовый валун[-] (Блок разработчиков)
AL_Block_GarnieriteBoudlerDesc,,Source of nickel.,Источник никеля.
,,,
AL_Block_ChromiteBoulder,,[ffc070]Chromite Boulder[-] (Dev Block),[ffc070]Хромитовый валун[-] (Блок разработчиков)
AL_Block_ChromiteBoulderDesc,,Source of chromium.,Источник хрома.
,,,
AL_Block_ChalcopyriteBoulder,,[ffc070]Chalcopyrie Boulder[-] (Dev Block),[ffc070]Халькопировый валун[-] (Блок Дева)
AL_Block_ChalcopyriteBoulderDesc,,Source of copper.,Источник меди.
,,,
AL_Block_AnthraciteBoulder,,[ffc070]Anthracite Boulder[-] (Dev Block),[ffc070]Антрацитовый валун[-] (Блок Дева)
AL_Block_AntrachiteBoulderDesc,,Marks anthracite veins.,Отмечает антрацитовые жилки.
,,,
AL_Block_CassiteriteBoulder,,[ffc070]Cassiterite Boulder[-] (Dev Block),[ffc070]Касситеритовый валун[-] (Блок разработчиков)
AL_Block_CassiteriteBoulderDesc,,Marks cassiterite veins.,Отмечает жилы касситерита.
,,,
AL_Block_TreeStumpNew,[ffc070]New Tree Stump[-] (Dev Block),,
AL_Block_StumpNewDesc,New stump freshly formed from felling a tree. Will mature after a few days.,,
,,,
AL_Block_TreeStumpMatureHiveNo,[ffc070]Matured Stump[-] (Dev Block),,
AL_Block_TreeStumpMatureHiveNoDesc,Matured plain stump.,,
,,,
AL_Block_TreeStumpMatureHiveYes,[ffc070]Matured Stump with Bee Hive[-] (Dev Block),,
AL_Block_TreeStumpMatureHiveYesDesc,Matured stump that hosts a bee hive.,,
,,,
AL_Block_SyphiaSpore,,[ffc070]Syphia Spore[-] (Dev Block),[ffc070]Сифийская спора[-] (Блок разработчиков)
AL_Block_SyphiaSporeDesc,,"This mysterious mushroom appears to somehow obscure itself during the daytime. If one must venture into the dark to find them, one can only hope there's something about them that makes them worth the danger of skulking around in the night.","Этот загадочный гриб, кажется, каким-то образом скрывает себя в дневное время. Если кому-то придется отправиться в темноту, чтобы найти их, остается только надеяться, что в них есть что-то такое, что оправдывает опасность прятаться по ночам."
,,,
AL_Block_WoodenLog,,[ffc070]Wooden Log[-],[ffc070]Деревянное бревно[-]
AL_Block_WoodenLogDesc,,"An entire [ffc070]Wooden Log[-]. It's bulky, unwieldy, and very heavy, but somehow you manage to fit quite a lot of them in your backpack. [ffc070]Wooden logs[-] can be processed into [ffc070]worked wood[-] for more general crafting, and construction.","Целое [ffc070]Деревянное бревно[-]. Он громоздкий, неповоротливый и очень тяжелый, но каким-то образом вам удается уместить их довольно много в рюкзаке. [ffc070]Деревянные бревна[-] можно переработать в [ffc070]обработанную древесину[-] для более общего крафта и строительства."
,,,
AL_Block_WorkstationDistillery,,[ffc070]Distillery[-],[ffc070]Винокурня[-]
AL_Block_WorkstationDistilleryDesc,,"A functional [ffc070]distillery[-] is perhaps your greatest weapon against dehydration in the face of the extremophile zombie virus, allowing you to produce clean, distilled water... and booze, which is also good.","Функциональный [ffc070]дистилляционный завод[-], пожалуй, ваше лучшее оружие против обезвоживания перед лицом экстремофильного зомби-вируса, позволяющее производить чистую дистиллированную воду... и выпивку, что тоже хорошо."
,,,
AL_Block_WorkstationBloomery,,[ffc070]Bloomery[-],[ffc070]Цветение[-]
AL_Block_WorkstationBloomeryDesc,,A primitive but operable [ffc070]bloomery[-].,"Примитивная, но работоспособная [ffc070]блумерия[-]."
,,,
AL_Block_GunVendingMachine,,[ffc070]Gun Vending Machine[-],[ffc070]Торговый автомат с оружием[-]
# }}},,,
,,,
# New Game {{{,,,
AL_LK_IntroText1,,The old world is gone.,Старый мир исчез.
AL_LK_IntroText2,,Our old selves are dead.,Наше старое «я» мертво.
AL_LK_IntroText3,,This is our new world.,Это наш новый мир.
AL_LK_IntroText4,,This is our...,Это наш...
AL_LK_IntroTitle,,Afterlife,Загробная жизнь
,,,
AL_LK_Begin,,Begin,Начинать
AL_LK_EquipmentHeader,,[ffb266]Equipment[-],[ffb266]Оборудование[-]
AL_LK_SkillsHeader,,[66ff7f]Skills[-],[66ff7f]Навыки[-]
AL_LK_PerkHeader,,[8080ff]Perk[-],[8080ff]Перк[-]
,,,
AL_LK_NewGameStartText,,"This is not a mod for the faint of heart.\n\nIt has been designed since its inception such that its foremost offering is that of a challenge for experienced [c00000ff]7 Days To Die[-] players.\n\nIf you find this acceptable, click onward.","Это мод не для слабонервных.\n\nС момента его создания он был разработан таким образом, что его главное предложение — это испытание для опытных игроков [c00000ff]7 Days To Die[-].\n\nЕсли вы найдите это приемлемым, нажмите дальше."
,,,
AL_LK_NormieColoured,,[ffffff]The Normie[-],[ffffff]Норми[-]
AL_LK_SheriffColoured,,[00abff]The Sheriff[-],[00abff]Шериф[-]
AL_LK_CrawlerColoured,,[c76c05]The Crawler[-],[c76c05]Ползун[-]
AL_LK_SavageColoured,,[91AA49]The Savage[-],[91AA49]Дикарь[-]
AL_LK_HoodlumColoured,,[f6d900]The Hoodlum[-],[f6d900]Хулиган[-]
AL_LK_PrepperColoured,,[9e9894]The Prepper[-],[9e9894]Выживатель[-]
AL_LK_WobblyColoured,,[e53322]The Wobbly[-],[e53322]Шаткий[-]
AL_LK_EnigmaColoured,,[944dff]The Enigma[-],[944dff]Загадка[-]
AL_LK_Normie,,The Normie,Норми
AL_LK_Sheriff,,The Sheriff,Шериф
AL_LK_Crawler,,The Crawler,Ползунок
AL_LK_Savage,,The Savage,Дикарь
AL_LK_Hoodlum,,The Hoodlum,Хулиган
AL_LK_Prepper,,The Prepper,Выживатель
AL_LK_Wobbly,,The Wobbly,Шатающийся
,,,
AL_LK_NormieText,,"Your life was stable and comfortable, but somewhat dull. You did not understand those who envy it. You often found yourself wondering whether you were wasting your life by working to support your family.\n\nThe apocalypse forced change upon you, and despite the life-threatening dangers, you are (just quietly) giddy about it. The world lies in ruin, but you feel like your life is just about to begin.","Ваша жизнь была стабильной и комфортной, но несколько унылой. Вы не поняли тех, кто этому завидует. Вы часто задавались вопросом, не тратите ли вы свою жизнь впустую, работая, чтобы поддержать свою семью.\n\nАпокалипсис заставил вас измениться, и, несмотря на опасные для жизни опасности, вы (просто тихо) кружитесь от этого. Мир лежит в руинах, но вы чувствуете, что ваша жизнь только начинается."
AL_LK_NormieEquipment,,"Presentability fit for your next job interview, some old world cash-money, a wristwatch, and a decent backpack.","Презентабельность, подходящая для вашего следующего собеседования, немного наличных денег старого мира, наручные часы и приличный рюкзак."
AL_LK_NormieEffects,,[ff8040]Equipment:[-]\n- A business suit ready for your next job interview.\n- A decent wad of old-world cash-money.\n- A classy wristwatch.\n- A very practical backpack.\n\n[ffff40]Starting Skills:[-]\n- 20 Swimming.\n- 20 Athletics.\n\n[8080ff]Special Effects:[-]\n[40ff40]- 25% better deals at vending machines.[-],"[ff8040]Снаряжение:[-]\n- Деловой костюм, готовый к следующему собеседованию.\n- Приличная пачка старинных наличных денег.\n- Стильные наручные часы.\n- Очень практичный рюкзак. \n\n[ffff40]Начальные навыки:[-]\n- 20 Плавание.\n- 20 Атлетика.\n\n[8080ff]Специальные эффекты:[-]\n[40ff40]- 25% выгодные предложения в торговле машины.[-]"
,,,
AL_LK_SheriffText,,"You swore to uphold the law, to uphold justice, and also to provide the city with a stream of violation-derived income to buffer the metropolitan coffers.\n\nNowadays there's less paperwork, and your sensitivity and deescalation training doesn't seem so useful, but at least you get to shoot zombies.","Вы поклялись соблюдать закон, поддерживать справедливость, а также обеспечивать город потоком доходов, полученных от нарушений, для буферизации столичной казны.\n\nСегодня бумажной работы меньше, и ваша подготовка по чувствительности и деэскалации не кажется такой уж полезно, но, по крайней мере, вы сможете стрелять в зомби."
AL_LK_SheriffEffects,,"[ff8040]Equipment:[-]\n- Your uniform, service pistol, a couple of mags, and a baton.\n\n[ffff40]Starting Skills:[-]\n- 25 Pistols.\n- 25 Clubbing.\n\n[8080ff]Special Effects:[-]\n[40d040]- 20% more likely to find 9mm ammo & can find 9mm ammo in places where others can't.\n[40d040]- Can effortlessly open Cop Cars.\n- Half Vitality loss from Fear and Combat Stress.[-]\n[ff4040]- 25% slower looting speed.\n- Doesn't gain 'Social' Vitality from [f6d900]The Hoodlum[-].","[ff8040]Снаряжение:[-]\n- Ваша униформа, табельный пистолет, пара магазинов и дубинка.\n\n[ffff40]Стартовые навыки:[-]\n- 25 пистолетов.\n- 25 дубинок. .\n\n[8080ff]Специальные эффекты:[-]\n[40d040]- на 20% выше вероятность найти 9-мм боеприпасы и можно найти 9-мм боеприпасы в местах, где другие не могут.\n[40d040]- Можно легко открыть Полицейские машины.\n- Потеря половины живучести из-за страха и боевого стресса.[-]\n[ff4040]- Скорость грабежа на 25% медленнее.\n- Не получает «социальную» живучесть от [f6d900]Хулигана[-] ."
,,,
AL_LK_CrawlerText,,"[a0a0a0]''Go to the Winchester, have a nice cold pint, and wait for all this to blow over...''[-]\n\nYou're the quintessential lifelong pub-crawling bar-hopping alcoholic and you've been kicked out of your fair share.\n\nYou have no intention of letting some brain-eater get between you and a nice lager.","[a0a0a0]''Сходите в Винчестер, выпейте хорошую холодную пинту и подождите, пока все это пройдет...''[-]\n\nВы типичный алкоголик, который всю жизнь ползет по пабам и прыгает по барам, и вы вас выгнали из вашей справедливой доли.\n\nВы не намерены позволять какому-то пожирателю мозгов встать между вами и хорошим лагером."
AL_LK_CrawlerEffects,,[ff8040]Equipment:[-]\n- Knuckle wraps.\n- A couple for the road.\n\n[ffff40]Starting Skills:[-]\n- 20 Fisticuffs.\n\n[8080ff]Special Effects:[-]\n[40ff40]- Double bonuses from drunkenness.\n- Half penalties from drunkenness.\n- Starts with the Distillery workstation unlocked.\n- Will never vomit from excessive alcohol consumption.[-]\n[ff4040]- Starts with 100% Alcoholism.\n- Alcoholism can never drop below 25%.[-],[ff8040]Снаряжение:[-]\n- Бинты на кулаки.\n- Пара для дороги.\n\n[ffff40]Стартовые навыки:[-]\n- 20 кулачных боев.\n\n[8080ff]Специальный Эффекты:[-]\n[40ff40]- Двойные бонусы от опьянения.\n- Половинные штрафы от пьянства.\n- Начинается с разблокированной рабочей станции винокурни.\n- Никогда не будет рвать от чрезмерного употребления алкоголя.[-]\n [ff4040]- Начинается со 100% алкоголизма.\n- Алкоголизм никогда не может упасть ниже 25%.[-]
,,,
AL_LK_SavageText,,"At the dawn of the apocalypse, you found yourself stranded on a remote road, your car broken down. Rather than seek civilisation, you fled into the forest. Maybe it was luck, but you did well out there. You survived on almost nothing while largely avoiding contact with the undead.\n\nNow, an established woodsman, you're ready to venture back toward the towns and cities, to try and make more of this life.","На заре апокалипсиса вы оказались на глухой дороге, ваша машина сломалась. Вместо того, чтобы искать цивилизации, вы сбежали в лес. Возможно, это была удача, но ты там хорошо справился. Вы выживали почти без ничего, избегая при этом контактов с нежитью.\n\nТеперь, будучи опытным лесником, вы готовы отправиться обратно в города, чтобы попытаться получить больше от этой жизни."
AL_LK_SavageEffects,,[ff8040]Equipment:[-]\n- A primitive bow & a bunch of arrows.\n- A bone knife.\n- A stone axe.\n\n[ffff40]Starting Skills:[-]\n- 20 Archery.\n- 20 Butchering.\n\n[8080ff]Special Effects:[-]\n[40ff40]- Perk: 'Savagery'; Provides basic tracking immediately.\n- Always knows where their bedroll is when in the Forest biome.\n[808080]- Skips the (Afterlife) Tutorial quest line.,"[ff8040]Снаряжение:[-]\n- Примитивный лук и связка стрел.\n- Костяной нож.\n- Каменный топор.\n\n[ffff40]Начальные навыки:[-]\n- 20 Стрельба из лука.\n- 20 Мясная работа.\n\n[8080ff]Специальные эффекты:[-]\n[40ff40]- Перк: «Дикость»; Немедленно обеспечивает базовое отслеживание.\n- Всегда знает, где находится его спальное место в лесном биоме.\n[808080]- Пропускает квестовую линию обучения (Загробная жизнь)."
,,,
AL_LK_HoodlumText,,"Born and raised in and amidst urban poverty, you learnt to make your way, any way.\n\nTheft and burglary are just names for the only hustle around, and if you don't hustle, you waste away laying in a gutter, deep in the cracks of society. With dead bodies up on two feet though, the game has changed.\n\nThe dead take to violence more quickly than the living, but they care much less about looting.","Вы родились и выросли в городской нищете, и вы научились пробиваться любым способом.\n\nВоровство и грабеж - это всего лишь названия единственной суеты вокруг, и если вы не суетитесь, вы пропадаете в сточной канаве, глубоко в трещинах общества. Однако, когда трупы стоят на двух ногах, игра меняется.\n\nМертвые прибегают к насилию быстрее, чем живые, но их гораздо меньше заботят грабежи."
AL_LK_HoodlumEffects,,[ff8040]Equipment:[-]\n- A shiv.\n- A set of lockpicks.\n\n[ffff40]Starting Skills:[-]\n- 20 Knives.\n- 20 Lockpicking.\n\n[8080ff]Special Effects:[-]\n[40d040]- Perk: 'Shiv'; Provides minor bleed when attacking with Knives.\n- Can craft [00ff00]Improvised Lockpicks[-][40ff40].\n[d04040]- Doesn't gain 'Social' Vitality from [00abff]The Sheriff[-].,[ff8040]Снаряжение:[-]\n- Заточка.\n- Набор отмычек.\n\n[ffff40]Начальные навыки:[-]\n- 20 ножей.\n- 20 Отмычек.\n\ n[8080ff]Специальные эффекты:[-]\n[40d040]- Перк: «Заточка»; Обеспечивает незначительное кровотечение при атаке ножами.\n- Можно изготовить [00ff00]Импровизированные отмычки[-][40ff40].\n[d04040]- Не получает «социальную» живучесть от [00abff]Шерифа[-].
,,,
AL_LK_WobblyText,,"This 'apocalypse' is merely an emerging state of degeneration in modern late-stage neoliberal capitalism and precipitates a further decay into the traditional degenerated state: fascism.\n\nOnly a conscious and armed working class can defeat the deaddened hordes and rein in a new order, by the working class, for the working class!","Этот «апокалипсис» — это всего лишь возникающее состояние вырождения современного неолиберального капитализма поздней стадии, ускоряющее дальнейший распад в традиционное выродившееся государство: фашизм.\n\nТолько сознательный и вооруженный рабочий класс может победить омертвевшие орды и обуздать Новый порядок рабочего класса, для рабочего класса!"
AL_LK_WobblyEffects,,[ff8040]Equipment:[-]\n- Your beloved Wobbly shirt and cap.\n- A good-quality claw hammer and sickle.\n\n[ffff40]Starting Skills:[-]\n- 20 Construction.,[ff8040]Снаряжение:[-]\n- Ваша любимая рубашка и кепка Wobbly.\n- Качественный серп и молот.\n\n[ffff40]Начальные навыки:[-]\n- 20 Строительство.
,,,
AL_LK_Enigma,,The Enigma,Загадка
AL_LK_EnigmaText,,"You awaken in the world wearing nothing, holding nothing, and remembering nothing. You don't remember having had a family, nor friends. You don't know where you grew up, what school you went to, or whether you had pets. You don't remember having had any hobbies or work. You feel no particular affiliations or biases. You're lucky to have retained basic language skills.","Вы просыпаетесь в мире, не имея ничего, ничего не держа в руках и ничего не помня. Вы не помните, чтобы у вас была семья или друзья. Вы не знаете, где вы выросли, в какую школу ходили и были ли у вас домашние животные. Вы не помните, чтобы у вас были какие-либо хобби или работа. Вы не чувствуете никаких особых пристрастий или предубеждений. Вам повезло, что вы сохранили базовые языковые навыки."
AL_LK_EnigmaEffects,,[ff8040]Equipment:[-]\n- Nothing.\n\n[ffff40]Starting Skills:[-]\n- None.\n\n[8080ff]Special Effects:[-]\n- None.[-],[ff8040]Снаряжение:[-]\n- Ничего.\n\n[ffff40]Стартовые навыки:[-]\n- Нет.\n\n[8080ff]Специальные эффекты:[-]\n- Нет.[ -]
# }}},,,
,,,
# Attributes {{{,,,
AL_Attribute_Strength,,Strength,Сила
AL_Attribute_Fortitude,,Fortitude,Стойкость
AL_Attribute_Finesse,,Finesse,Изящность
AL_Attribute_Agility,,Agility,Ловкость
AL_Attribute_Perception,,Perception,Восприятие
AL_Attribute_Intellect,,Intellect,Интеллект
,,,
# Suppressing default text from showing up with these..,,,
AL_LK_StrengthPerks,,,
AL_LK_FortitudePerks,,,
AL_LK_FinessePerks,,,
AL_LK_AgilityPerks,,,
AL_LK_PerceptionPerks,,,
AL_LK_IntellectPerks,,,
,,,
AL_LK_RGB_AL_Attribute_Strength,,[ff9933]Strength[-],[ff9933]Сила[-]
AL_LK_RGB_AL_Attribute_Fortitude,,[ff3333]Fortitude[-],[ff3333]Стойкость[-]
AL_LK_RGB_AL_Attribute_Finesse,,[33ff33]Finesse[-],[33ff33]Изящность[-]
AL_LK_RGB_AL_Attribute_Agility,,[ffff33]Agility[-],[ffff33]Ловкость[-]
AL_LK_RGB_AL_Attribute_Perception,,[9059ff]Perception[-],[9059ff]Восприятие[-]
AL_LK_RGB_AL_Attribute_Intellect,,[6666ff]Intellect[-],[6666ff]Интеллект[-]
,,,
AL_Attribute_StrengthDesc,,"Strength is raw muscle; physical capacity and explosive power. It affects and grows with skills that benefit from such power, primarily Mining, [ffc070]Digging[-], [ffc070]Logging[-], [ffc070]Clubbing[-], [ffc070]Sledgehammers[-], [ffc070]Axes[-], but many other skills are involved to a smaller degree, such as [ffc070]Construction[-] and [ffc070]Fisticuffs[-].","Сила — это грубые мышцы; физическая сила и взрывная сила. Он влияет и развивается вместе с навыками, которые получают выгоду от такой силы, в первую очередь Горное дело, [ffc070]Копание[-], [ffc070]Легирование леса[-], [ffc070]Клубная работа[-], [ffc070]Кувалды[-], [ffc070] Топоры[-], но многие другие навыки задействованы в меньшей степени, например [ffc070]Строительство[-] и [ffc070]Кулачные бои[-]."
AL_Attribute_FortitudeDesc,,"Your Fortitude is your abstract total resistance against what assails you, physical or otherwise. Your immune system, your sanity, your ability to take physical punishment, all relate to your fortitude. Primary related skills include [ffc070]Athletics[-] and [ffc070]Swimming[-], but most skills relate to it somewhat.","Ваша Стойкость — это ваше абстрактное полное сопротивление тому, что нападает на вас, физическое или иное. Ваша иммунная система, ваше здравомыслие, ваша способность выдерживать физическое наказание — все это связано с вашей силой духа. Основные связанные навыки включают [ffc070]Атлетика[-] и [ffc070]Плавание[-], но большинство навыков в некоторой степени связаны с ними."
AL_Attribute_FinesseDesc,,"Finesse represents one's dexterity in the fine manipulation of one's hands and fingers. It affects and grows primarily with [ffc070]Knives[-], [ffc070]Archery[-], [ffc070]Pistols[-], [ffc070]Lockpicking[-], but also [ffc070]Spears[-], [ffc070]Crossbows[-], [ffc070]Assault Rifles[-], and [ffc070]SMGs[-] to a lesser extent.","Утонченность представляет собой ловкость в тонком манипулировании руками и пальцами. Он влияет и усиливается в первую очередь за счет [ffc070]Ножей[-], [ffc070]Стрельбы[-], [ffc070]Пистолетов[-], [ffc070]Взломов[-], а также [ffc070]Копий[-], [ffc070] ]Арбалеты[-], [ffc070]Штурмовые винтовки[-] и [ffc070]ПП[-] в меньшей степени."
AL_Attribute_AgilityDesc,,"Agility represents your general accuracy and speed with your limbs. Its practice confers useful effects, but few practices frequently undertaken in this sort of life hone it.","Ловкость отражает вашу общую точность и скорость движений конечностей. Его практика приносит полезные результаты, но немногие практики, часто выполняемые в такой жизни, оттачивают его."
AL_Attribute_PerceptionDesc,,"Perception is simply one's ability to notice, to find the shape in the midst of everything else, possibly the shape pointing a rifle at your head... Or possibly, just the shape of some extra loot. Perception is difficult to grow, but [ffc070]Scavenging[-], and using [ffc070]Rifles[-], will help to some extent.","Восприятие — это просто способность человека заметить, найти форму среди всего остального, возможно, форму, направляющую винтовку тебе в голову... Или, возможно, просто форму какой-то дополнительной добычи. Восприятие трудно развивать, но [ffc070]Сбор мусора[-] и использование [ffc070]Винтовки[-] в некоторой степени помогут."
AL_Attribute_IntellectDesc,,"Intellect is your general ability to reason, to understand, to make those useful connections that someone with less brain cells might not. It relates to the some intellectual activities such as [ffc070]Healing[-] and [ffc070]Lockpicking[-].","Интеллект — это ваша общая способность рассуждать, понимать и устанавливать те полезные связи, которые не могут быть доступны человеку с меньшим количеством клеток мозга. Это относится к некоторым интеллектуальным действиям, таким как [ffc070]Исцеление[-] и [ffc070]Взлом замков[-]."
# }}},,,
,,,
# Perks {{{,,,
AL_Perk_Decorator,,Decorator,Декоратор
AL_Perk_DecoratorDesc,, ,
AL_Perk_Decorator1Desc,,Vitality gained from Decor is increased by [00ff00]20%[-].,"Энергия, полученная от декора, увеличивается на [00ff00]20%[-]."
AL_Perk_Decorator2Desc,,Vitality gained from Decor is increased by [00ff00]40%[-].,"Энергия, получаемая от декора, увеличивается на [00ff00]40%[-]."
AL_Perk_Decorator3Desc,,Vitality gained from Decor is increased by [00ff00]60%[-].,"Энергия, получаемая от декора, увеличивается на [00ff00]60%[-]."
AL_Perk_Decorator4Desc,,Vitality gained from Decor is increased by [00ff00]80%[-].,"Энергия, получаемая от декора, увеличивается на [00ff00]80%[-]."
AL_Perk_Decorator5Desc,,Vitality gained from Decor is increased by [00ff00]doubled[-].,"Энергия, полученная от Декора, увеличивается в [00ff00]удвоении[-]."
,,,
AL_Perk_Slayer,,Slayer,убийца
AL_Perk_SlayerDesc,,Reign in blood!.. Zombie blood!,Царствуйте в крови!.. В крови зомби!
AL_Perk_Slayer1Desc,,Gain [00ff00].04[-] Vitality with each zombie kill.,Получите [00ff00].04[-] живучести с каждым убийством зомби.
AL_Perk_Slayer2Desc,,Gain [00ff00].08[-] Vitality with each zombie kill.,Получите [00ff00].08[-] живучести с каждым убийством зомби.
AL_Perk_Slayer3Desc,,Gain [00ff00].12[-] Vitality with each zombie kill.,Получите [00ff00].12[-] живучести с каждым убийством зомби.
AL_Perk_Slayer4Desc,,Gain [00ff00].16[-] Vitality with each zombie kill.,Получите [00ff00].16[-] живучести с каждым убийством зомби.
AL_Perk_Slayer5Desc,,Gain [00ff00].2[-] Vitality with each zombie kill.,Получите [00ff00].2[-] живучести с каждым убийством зомби.
,,,
AL_Perk_Inconspicuous,,Inconspicuous,Незаметный
AL_Perk_InconspicuousDesc,,"Through keen observation and practice, one can subdue their physical response in the presence of enemies. With a carefully controlled breath, and a statuesque stillness, you disappear.",Благодаря внимательному наблюдению и практике можно подавить свою физическую реакцию в присутствии врагов. С тщательно контролируемым дыханием и статной неподвижностью вы исчезаете.
AL_Perk_Inconspicuous1Desc,,"After remaining still for [ffc070]30 seconds[-], your stealth begins to gradually improve, achieving invisibility after [ffc070]60[-] more seconds. Any movement removes the effect.","После того, как вы остаетесь на месте в течение [ffc070]30 секунд[-], ваша скрытность начинает постепенно улучшаться, и невидимость достигается еще через [ffc070]60[-] секунд. Любое движение снимает эффект."
AL_Perk_Inconspicuous2Desc,,"Initial timer reduces to [ffc070]20 seconds[-], after which invisibility is achieved after [ffc070]30 seconds[-].","Начальный таймер сокращается до [ffc070]20 секунд[-], после чего невидимость достигается через [ffc070]30 секунд[-]."
AL_Perk_Inconspicuous3Desc,,"Initial timer reduces to [ffc070]10 seconds[-], after which invisibility is achieved after [ffc070]15 seconds[-].","Начальный таймер сокращается до [ffc070]10 секунд[-], после чего невидимость достигается через [ffc070]15 секунд[-]."
,,,
AL_Perk_Shiv,,Shiv,Шив
AL_Perk_ShivDesc,,Let's just say you've had some practice rapidly stabbing people.,"Скажем так, у вас есть некоторая практика быстрого нанесения ножевых ранений людям."
AL_Perk_Shiv1Desc,,"When using knives, adds [ffc070]6[-] damage worth of bleed to each attack.",При использовании ножей к каждой атаке добавляется кровотечение на [ffc070]6[-] урона.
,,,
AL_Perk_Tracker,,Tracker,Трекер
AL_Perk_TrackerDesc,,"They can run, extremely quickly actually, but they can't hide.. once I take this perk.","Они могут бегать, причем очень быстро, но не могут спрятаться... как только я возьму этот перк."
AL_Perk_Tracker1Desc,,You can detect trails left by small animals.,"Вы можете обнаружить следы, оставленные мелкими животными."
AL_Perk_Tracker2Desc,,You can detect trails left by medium-sized animals and sense nearby small animals.,"Вы можете обнаружить следы, оставленные животными среднего размера, и обнаружить поблизости мелких животных."
AL_Perk_Tracker3Desc,,You can detect trails left by large animals and sense nearby medium animals.,"Вы можете обнаружить следы, оставленные крупными животными, и почувствовать присутствие поблизости средних животных."
AL_Perk_Tracker4Desc,,TODO,ДЕЛАТЬ
,,,
AL_Perk_Savagery,,Savagery,дикость
AL_Perk_SavageryDesc,,"Your time spent in the wilderness has afforded you an attunement to the live of wild animals. The [ffc070]Savage[-] does not have access to the normal tracker perk, but has access to [ffc070]Savagery[-] instead.","Время, проведенное в дикой природе, дало вам возможность познакомиться с жизнью диких животных. [ffc070]Дикарь[-] не имеет доступа к обычному перку ​​следопыта, но вместо этого имеет доступ к [ffc070]Дикость[-]."
AL_Perk_Savagery1Desc,,You gain access to the [ffc070]Tracking[-] action skill and can detect trails left by small animals.,"Вы получаете доступ к навыку действия [ffc070]Слежение[-] и можете обнаруживать следы, оставленные мелкими животными."
AL_Perk_Savagery2Desc,,You can detect trails left by medium-sized animals and can sense nearby small animals.,"Вы можете обнаружить следы, оставленные животными среднего размера, и почувствовать близлежащие мелкие животные."
AL_Perk_Savagery3Desc,,You can detect trails left by large animals and can sense nearby medium animals.,"Вы можете обнаружить следы, оставленные крупными животными, и почувствовать присутствие поблизости средних животных."
