Key,Russian
,
AL_Item_Anthracite,[ffc070]Антрацит[-]
AL_Item_AnthraciteDesc,Этот самый угольный уголь в мире заставит температуру в вашей плавильне взлететь до небес.
,
AL_Item_DarkDaysLager,[ffc070]Пиво Dark Days[-]
AL_Item_DarkDaysLagerDesc,[ffc070]Пиво Dark Days[-]... Дань уважения нашим самым тёмным дням до появления зомби... Это были хорошие времена.
,
AL_Item_DrinkSmallBeer,[ffc070]Лёгкое пиво[-]
AL_Item_DrinkSmallBeerDesc,"В Средние века [ffc070]лёгкое пиво[-] в огромных количествах употребляли фермеры, поскольку оно освежало и безопасно доставляло необходимые калории. Обычно оно содержит менее 1% алкоголя, так что оно не слишком полезно, если вы хотите напиться."
,
AL_Item_WoodenMallet,[ffc070]Деревянная киянка[-]
AL_Item_WoodenMalletDesc,"Обычная [ffc070]деревянная киянка[-]. Простой инструмент, который можно использовать для соединения кусков дерева вместе и для множества других забавных занятий."
,
AL_Item_StoneMallet,[ffc070]Каменная киянка[-]
AL_Item_StoneMalletDesc,"[ffc070]Каменная киянка[-] ненамного лучше деревянной по своим конструктивным возможностям, но она гораздо прочнее."
,
AL_Item_BronzeMallet,[ffc070]Бронзовая киянка[-]
AL_Item_BronzeMalletDesc,"Первый металлический строительный инструмент и первый инструмент, способный эффективно работать с материалами, более прочными, чем палки и камни."
,
AL_Item_PlasticBottleEmpty,[ffc070]Пустая пластиковая бутылка[-]
AL_Item_PlasticBottleEmptyDesc,"[ffc070]Пустая пластиковая бутылка[-]. Казалось бы, в стране первого мира, как эта, люди могут спокойно пить из крана, но нет, массовый маркетинг (он же пропаганда) создал повсеместное распространение ныне покорной пластиковой бутылки. Пустая трата ресурсов до апокалипсиса, но удобная тара после него."
,
AL_Item_PlasticBottleLakewater,[ffc070]Озёрная вода (пластиковая бутылка)[-]
AL_Item_PlasticBottleLakewaterDesc,"[ffc070]Пластиковая бутылка, полная озёрной воды[-]. Решительный и минимальный тест на вкус показывает, что она солоновата, что немного странно, ведь это озёрная вода. Вероятно, в ней полно всяких гадостей вроде болезнетворных микробов и зомби-вируса."
,
AL_Item_PlasticBottleRiverwater,[ffc070]Речная вода (пластиковая бутылка)[-]
AL_Item_PlasticBottleRiverwaterDesc,"[ffc070]Пластиковая бутылка, наполненная речной водой[-]. В отличие от озёрной воды, она солёная настолько, что её можно пить (она не солёная)."
,
AL_Item_PlasticBottleBrine,[ffc070]Рассол (пластиковая бутылка)[-]
AL_Item_PlasticBottleBrineDesc,"[ffc070]Пластиковая бутылка, наполненная рассолом[-]. Что такое рассол? Ты не знаешь? Чёрт, ну ладно. По сути, это просто очень солёная вода. Вы можете выпить её, а можете и не пить, что тоже неплохо."
,
AL_Item_Water,[ffc070]Вода[-]
AL_Item_WaterDesc,"Эта вода, вероятно, самая чистая, непорочная и безопасная из всех, что вы можете найти в наши дни. Поскольку Z-вирус живет практически в каждом водоёме, чистую воду, подобную этой, обычно можно найти только после длительного хранения в герметичном контейнере... или очистки с помощью дистилляции."
,
AL_Item_Salt,[ffc070]Соль[-]
AL_Item_SaltDesc,"Это [ffc070]соль[-]! Очевидно, даже экстремофильный зомби-вирус не может выжить без небольшого количества воды, и за это спасибо, мать вашу."
,
AL_Item_FiberCordage,[ffc070]Волокнистая верёвка[-]
AL_Item_FiberCordageDesc,"С тех пор как апокалипсис положил конец амбициозным программам генной инженерии, направленным на то, чтобы заставить клейкую ленту расти на деревьях, приходится довольствоваться простой [ffc070]волокнистой верёвкой[-]."
resourceYuccaFibers,Растительные волокна
resourceYuccaFibersDesc,"Поскольку апокалипсис положил конец амбициозным программам генной инженерии, направленным на то, чтобы заставить клейкую ленту расти на деревьях, приходится довольствоваться растительными волокнами, сплетенными в шнур."
,
AL_Item_FiberSlingBag,[ffc070]Сумка из волокна[-]
AL_Item_FiberSlingBagDesc,"Эта модная вещь выполнена из экзотического травяного текстиля, а также представляет собой перевязь. Её не очень удобно носить с собой, и она, разумеется, ограничивает вашу подвижность [bbbbbb](-5%)[-], но она быстро собирается и хотя бы минимально служит своей цели."
,
AL_Item_FiberBackpack,[ffc070]Рюкзак из волокна[-]
AL_Item_FiberBackpackDesc,"Эта изысканная вещь, хотя и является еще одним предметом, полученным из травы, представляет собой настоящий рюкзак в том смысле, что это рюкзак, который держится на спине. Его сборка занимает довольно много времени, но когда других вариантов нет, он становится незаменимым."
,
AL_Item_LeatherBackpack,[ffc070]Кожаный рюкзак[-]
AL_Item_LeatherBackpackDesc,"В отличие от [ffc070]сумки из волокна[-], это настоящий рюкзак. Он вмещает не намного больше, но с ним гораздо удобнее передвигаться."
,
AL_Item_PaddedBackpack,[ffc070]Мягкий рюкзак[-]
AL_Item_PaddedBackpackDesc,В этой жизни он максимально приближен к типичному рюкзаку.
,
AL_Item_ScrapPack,[ffc070]Металлоломный рюкзак[-]
AL_Item_ScrapPackDesc,"Это всё ещё рюкзак, но он нагружен ржавыми металлическими пластинами, гайками, гвоздями, сетками и т. д. По сути, это скорее броня, а не рюкзак."
,
AL_Item_HikerBackpack,[ffc070]Походный рюкзак[-]
AL_Item_HikerBackpackDesc,"Этот большой рюкзак известен среди пеших туристов и путешественников. Он вмещает много вещей, но сильно влияет на мобильность [bbbbbb](-20%)[-]."
,
AL_Item_MilitaryAssaultPack,[ffc070]Военный штурмовой рюкзак[-]
AL_Item_MilitaryAssaultPackDesc,"Этот усовершенствованный рюкзак предназначен для использования пехотой в боевых условиях. Он эффективен, вмещает много груза и не влияет на мобильность."
,
AL_Item_MilitaryRucksack,[ffc070]Военный рюкзак[-]
AL_Item_MilitaryRucksackDesc,"Этот усовершенствованный рюкзак был разработан для пехоты, чтобы хранить все припасы, необходимые солдату для развертывания. В таком рюкзаке хранится чертовски много, но поскольку он не особенно предназначен для мобильности [bbbbbb](-10%)[-], он слегка замедляет вас."
,
AL_Item_Leather,[ffc070]Кожа[-]
AL_Item_LeatherDesc,"Несколько клочков, полосок и отрезков кожи, подвергшихся жестокой селективной обработке."
,
AL_Item_ScrapWood,[ffc070]Древесные отходы[-]
AL_Item_ScrapWoodDesc,"Щепки и обломки дерева едва ли достаточно велики, чтобы сделать из них древко для стрелы. Но для поддержания огня вполне сгодятся."
,
AL_Item_PrimitiveJavelin,[ffc070]Примитивное копьё[-]
AL_Item_PrimitiveJavelinDesc,"Это просто палка, но заточенная с одного конца. Если бросить её быстро, сильно и точно, она может сойти за настоящее оружие."
,
AL_Item_Stick,[ffc070]Палка[-]
AL_Item_StickDesc,Это просто палка.
,
AL_Item_Pitch,[ffc070]Древесный пек[-]
AL_Item_PitchDesc,"Это как клей. [i][ffc070]Клей[-] на основе смолы[/i]. Возможно, он не такой клейкий, как вам хотелось бы, но может быть настолько клейким, насколько вам нужно. Он также довольно легко воспламеняется."
,
AL_Item_Charcoal,[ffc070]Древесный уголь[-]
AL_Item_CharcoalDesc,"Доступный и мощный источник топлива для тех случаев, когда вам нужно больше тепла, чем могут дать дрова."
,
AL_Item_CharcoalPowder,[ffc070]Угольный порошок[-]
AL_Item_CharcoalPowderDesc,Это древесный уголь после приложения на него некоторых усилий для измельчения. Может использоваться для изготовления примитивного клея. 
,
AL_Item_Limestone,[ffc070]Известняк[-]
AL_Item_LimestoneDesc,Классный.
,
AL_Item_LimestonePowder,[ffc070]Известняковый порошок[-]
AL_Item_LimestonePowderDesc,"Если смешать его с водой, получится зелёное желе."
,
AL_Item_IngotWroughtIron,[ffc070]Слиток кованого железа[-]
AL_Item_IngotBronze,[ffc070]Бронзовый слиток[-]
AL_Item_IngotTin,[ffc070]Оловянный слиток[-]
AL_Item_IngotPigIron,[ffc070]Чугунный слиток[-]
AL_Item_IngotBrass,[ffc070]Латунный слиток[-]
AL_Item_IngotLead,[ffc070]Свинцовый слиток[-]
AL_Item_IngotCopper,[ffc070]Медный слиток[-]
AL_Item_IngotChromium,[ffc070]Слиток хрома[-]
AL_Item_IngotSteel,[ffc070]Стальной слиток[-]
AL_Item_IngotSilver,[ffc070]Серебряный слиток[-]
AL_Item_IngotGold,[ffc070]Золотой слиток[-]
AL_Item_IngotNickel,[b6c0aa]Никелевый слиток[-]
AL_Item_IngotInconel,[de927b]Круглый пруток из инконеля[-]
AL_Item_IngotWroughtIronDesc,"Это железо, но оно не может устоять перед ковкой. Какая ирония судьбы."
AL_Item_IngotBronzeDesc,"Слиток бронзового сплава, изготовленный из олова и меди."
AL_Item_IngotTinDesc,"Слиток чистого олова, годный только для производства бронзы."
AL_Item_IngotPigIronDesc,"Названный так за то, что в традиционных формах расплавленный чугун напоминал приплод поросят, чугун - это железо с высоким содержанием углерода, являющееся промежуточным продуктом в производстве стали."
AL_Item_IngotLeadDesc,"Это свинец. Он очень плотный, очень тяжелый и годится для пуль. Не вздумай делать из него цеппелины, хорошо?"
AL_Item_IngotCopperDesc,"Медь - довольно хлипкий металл, но она была одним из первых металлов, которые мы использовали, в частности, для производства бронзы. Для большинства целей она сильно уступила, но тем не менее является важной частью нашей истории."
AL_Item_IngotChromiumDesc,"Крепкий, устойчивый к коррозии металл, используемый в производстве прочных сплавов."
AL_Item_IngotSteelDesc,Вот это разговор!
AL_Item_IngotSilverDesc,Слиток чистого серебра. Он стоил бы много...
AL_Item_IngotGoldDesc,"Когда-то такой невероятно ценный, а теперь всего лишь блестящий гнущийся кирпич."
AL_Item_IngotNickelDesc,Строительный блок сверхпрочных сплавов.
AL_Item_IngotInconelDesc,"Невероятный сверхпрочный сплав космической технологии, который выдерживает давление, высокую температуру и коррозию, пожалуй, лучше, чем любой другой металл или сплав, и нам удалось создать его здесь, в разгар зомби-апокалипсиса. Поразительно."
,
AL_Item_Resin,[ffc070]Смола[-]
AL_Item_ResinDesc,"[ffc070]Смола[-] - это просто липкий материал, который вы чувствуете на руке, когда опираетесь на дерево. Эта липкая древесная масса может послужить примитивным клеем, если понадобится."
,
AL_Item_PrimitiveMortar,[ffc070]Примитивный раствор[-]
AL_Item_PrimitiveMortarDesc,"Это [ffc070]примитивный раствор[-] на самом деле представляет собой не что иное, как кучу легко схватываемой земляной массы, сплющенной вместе. То, что он вообще может удерживать что угодно, немного удивительно. Но это так."
,
AL_Item_Mortar,[ffc070]Стройраствор[-]
AL_Item_MortarDesc,Хорош для строительства.
,
AL_Item_PasteRed,[ff4040]Красная[-] паста
AL_Item_PasteGreen,[40ff40]Зеленая[-] паста
AL_Item_PasteBlue,[4040ff]Синяя[-] паста
AL_Item_PasteWhite,Белая паста
AL_Item_PasteBlack,[404040]Черная[-] паста
,
AL_Item_PasteRedDesc,"Объективно лучший цвет, её можно использовать в красильной ванне, чтобы сделать смесь более красной."
AL_Item_PasteBlueDesc,"Послушайте, вот история о маленьком человечке, который живет в синем мире... Её можно использовать в красильной ванне, чтобы сделать вещи более синими."
AL_Item_PasteGreenDesc,"Если вам нравится зелёный цвет, то вам повезло. Природа тоже зелёная, и её можно растолочь в пасту, которую затем можно использовать в красильной ванне, чтобы сделать смесь более зелёной."
AL_Item_PasteBlackDesc,"Чернее, чем сердце гота/эмо двойной классификации, её можно использовать в красильной ванне, чтобы затемнить смесь."
AL_Item_PasteWhiteDesc,"Её можно использовать в красильной ванне, чтобы осветлить смесь."
,
AL_Item_BoneClub,[ffc070]Костяная дубина[-]
AL_Item_BoneClubDesc,"Костяная дубина не сильно отличается от деревянной по своим боевым характеристикам, но она очень хороша, если вы играете пещерного человека."
,
AL_Item_WhiteMeatRaw,[ffc070]Белое мясо[-] [ff7c7c](Сырое)[-]
AL_Item_WhiteMeatRawDesc,"Приличный кусок белого мяса, вероятно, из птицы. В сыром виде оно обычно еще опаснее, чем красное мясо."
AL_Item_WhiteMeatCharred,[ffc070]Белое мясо[-] [606060](Обугленное)[-]
AL_Item_WhiteMeatCharredDesc,"Приличный кусок белого мяса, вероятно, из птицы. Какой-то идиот пережарил его, но, по крайней мере, оно должно быть безопасным для еды."
AL_Item_WhiteMeatBoiled,[ffc070]Белое мясо[-] [57beff](Варёное)[-]
AL_Item_WhiteMeatBoiledDesc,"Приличный кусок белого мяса, вероятно, из птицы. Оно было тщательно проварено и должно быть безопасным для употребления, хотя и не особенно вкусным."
AL_Item_WhiteMeatGrilled,[ffc070]Белое мясо[-] [d48b52](Жареное)[-]
AL_Item_WhiteMeatGrilledDesc,"Приличный кусок белого мяса, вероятно, из птицы. Он был искусно поджарен на гриле. Браво."
,
AL_Item_Shiraz,[ffc070]Шираз[-]
AL_Item_ShirazDesc,"Очень тёмное, очень красное, очень сухое, очень вкусное вино."
,
AL_Item_ImprovisedLockpick,[ffc070]Импровизированная отмычка[-]
AL_Item_ImprovisedLockpickDesc,"Это не более чем просто проволока, закрученная особым образом, но это может сработать. [bbbbbb] Можно использовать на запертых ящиках через радиальное меню. Значительно менее эффективна, чем обычная отмычка[-]."
,
AL_Item_CounterfeitOldCash,[ffc070]Поддельные старые деньги[-]
AL_Item_CounterfeitOldCashDesc,"Бедный торговый автомат никогда не догадается, что его надули!"
}}},
,
# Item Modifiers {{{,
AL_ItemMod_BatteryAAANonRechargeable,[ffc070]Батарейка AAA[-] (неперезаряжаемая)
AL_ItemMod_BatteryAAANonRechargeableDesc,"[i]Неперезаряжаемая[/i] батарейка, мизинчиковая? Как неэкологично. Возможно, это даже не тот тип, который вам нужен."
,
AL_ItemMod_BatteryAAARechargeable,[ffc070]Батарейка AAA[-] (перезаряжаемая)
AL_ItemMod_BatteryAAARechargeableDesc,"О да... Превосходно. Перезаряжаемая батарейка, мизинчиковая. Борьба с апокалипсисом, вызванным изменением климата, идёт полным ходом."
# }}},
,
# Materials {{{,
materialAL_Material_Frames,[ffc070]Инструмент планирования[-]
materialAL_Material_WoodenLog,[ffc070]Деревянное полено[-]
frameShapes:VariantHelper,[ffc070]Инструмент планирования[-]
# }}},
,
lblwrought_iron,[7a7470]Железо[-]
lbllead,[4b4c4f]Свинец[-]
lblbrass,[ceaa7c]Латунь[-]
lblchromium,[c0c2c1]Хром.[-]
lblcopper,[df9976]Медь[-]
lblgold,[eab354]Золото[-]
lblsilver,[9bb6c0]Серебро[-]
lblsteel,[c7ccd1]Сталь[-]
lblnickel,[849577]Никель[-]
lblcarbon,[606060]Углерод[-]
lblbronze,[e6a372]Бронза[-]
lbltin,[b4ada9]Олово[-]
lbldynamic,[be6700]Лом[-]
lblinconel,[de927b]Инконель[-]
,
unit_wrought_iron,[7a7470]Железо[-]
unit_lead,[4b4c4f]Свинец[-]
unit_brass,[ceaa7c]Латунь[-]
unit_chromium,[c0c2c1]Хром.[-]
unit_copper,[df9976]Медь[-]
unit_gold,[eab354]Золото[-]
unit_silver,[9bb6c0]Серебро[-]
unit_steel,[c7ccd1]Сталь[-]
unit_nickel,[849577]Никель[-]
unit_carbon,[606060]Углерод[-]
unit_bronze,[e6a372]Бронза[-]
unit_tin,[b4ada9]Олово[-]
unit_dynamic,[be6700]Лом[-]
unit_inconel,[de927b]Инконель[-]
,
unit_water,[5b92cb]Вода[-]
unit_red_tea,[ff5555]Красный чай[-]
unit_goldenred_tea,[f8dd00]Чай из золотарника[-]
unit_beer,[e79b13]Алкоголь[-]
,
unit_dirty_water,[815500]Грязная вода[-]
unit_distilled_water,[5b92cb]Дистиллированная вода[-]
lbldirty_water,[815500]Грязная вода[-]
lbldistilled_water,[5b92cb]Дистиллированная вода[-]
,
lblbricks,[cb7e5b]Кирпичи[-]
lblwater,[5b92cb]Вода[-]
,
lblclay,[ff6f2f]Глина[-]
,
lblred,[ff4040]Красный[-]
lblgreen,[40ff40]Зелёный[-]
lblblue,[4040ff]Синий[-]
lblwhite,[ffffff]Белый[-]
lblblack,[404040]Чёрный[-]
,
lblmash,Смесь
lblbrine,Рассол
lblethanol,Спирт этиловый
lblalcohol,Алкоголь
lblsalt,Соль
,
unit_clay,[ff6f2f]Глина[-]
unit_mash,[ffc070]г. Смесь[-]
unit_brine,[ffc070]мл. рассол[-]
unit_alcohol,Алкоголь
unit_ethanol,[ffc070]мл. спирт этиловый[-]
unit_salt,[ffc070]г. соль[-]
# }}},
,
# Shapes {{{,
AL_Block_WoodenLog:VariantHelper,[ffc070]Деревянное полено[-]
shapeAL_Shape_WoodenLogWall,[ffc070]Стена[-]
shapeAL_Shape_WoodenLogWallOffset,[ffc070]Выпуск стены[-]
shapeAL_Shape_WoodenLogWallTop,[ffc070]Верх стены[-]
shapeAL_Shape_WoodenLogWallHalf,[ffc070]Половина стены[-]
shapeAL_Shape_WoodenLogWallHalfOffset,[ffc070]Выпуск половины стены[-]
shapeAL_Shape_WoodenLogCorner,[ffc070]Угол[-]
shapeAL_Shape_WoodenLogCornerTop,[ffc070]Верх угла #1[-]
shapeAL_Shape_WoodenLogCornerTop2,[ffc070]Верх угла #2[-]
shapeAL_Shape_WoodenLogPillar,[ffc070]Колонна[-]
shapeAL_Shape_WoodenLogPillarHalf,[ffc070]Половина колонны[-]
shapeAL_Shape_WoodenLogPillarCorner,[ffc070]Угол колонны[-]
shapeAL_Shape_WoodenLogFullPillar,[ffc070]Полная колонна[-]
shapeAL_Shape_WoodenLogFullPillarHalf,[ffc070]Половина полной колонны[-]
# }}},
,
# Blocks {{{,
AL_Block_MilitaryBox1,[ffc070]Военный тайник[-]
AL_Block_MilitaryBox1Desc,"Деревянный тайник военного образца, обычно используемый для хранения боеприпасов к стрелковому оружию."
,
AL_Block_TrainingDummy,Тренировочный манекен
AL_Block_TrainingDummyDesc,"Юккарианский гуманоидный тренажер для спарринга, позволяющий оценить количество навыков без вероятности травм. Кроме того, это хороший способ улучшить свои навыки в условиях, надеюсь, свободных от зомби."
,
AL_Block_Stash,"Тайник, место для хранения вкусностей, за которыми вы вернетесь позже."
AL_Block_StashDesc,"Тайник - место, куда можно складывать вещи, за которыми вы непременно вернётесь позже."
,
AL_Block_RainCatcher,Сборщик дождевой воды
AL_Block_RainCatcherDesc,"По крайней мере, это способ сделать дождь менее неприятным явлением."
,
AL_Block_WorkstationCharcoalKiln,[ffc070]Угольная печь[-]
AL_Block_WorkstationCharcoalKilnDesc,"[ffc070]Угольная печь[-] - это более эффективный способ получения древесного угля из древесины, в первую очередь из деревянных поленьев. Она полезна, когда вам нужно обеспечить кузницу теплом, достаточным для работы с такими металлами, как медь, олово и бронза, и не тратить драгоценный уголь, который понадобится для выплавки железа."
,
AL_Block_WorkstationCashConverter,[ffc070]Конвертер денежных средств[-]
,
AL_Block_FancyGarbageCanEmpty,[ffc070]Необычный мусорный бак[-] [808080](Пустой)[-]
,
AL_Block_PileOfStuff,[ffc070]Куча вещей[-]
AL_Block_PileOfStuffDesc,"Когда человек складывает, а не бросает на землю несколько вещей, в итоге он обнаруживает... [i]кучу вещей[/i].\n\n[808080]Это сверхпримитивное средство хранения всегда требует немного времени для доступа и должно быть заменено правильным хранилищем для правильного доступа.[-]"
,
AL_Block_PileOfFood,[ffc070]Куча еды[-]
AL_Block_PileOfFoodDesc,Часть еды разбросана по полу. Это не очень гигиенично.\n\n[808080]Этот ультрапримитивный способ хранения всегда требует немного времени для доступа и должен быть заменен на правильное хранилище для правильного доступа.[-]
,
AL_Block_PileOfMeds,[ffc070]Куча лекарств[-]
AL_Block_PileOfMedsDesc,"Ассортимент различных лекарственных предметов, лежащих тут и там.\n\n[808080]Это сверхпримитивное средство хранения всегда требует немного времени для доступа и должно быть заменено правильным хранилищем для правильного доступа.[-]"
,
AL_Block_PileOfWeaponry,[ffc070]Куча оружия[-]
AL_Block_PileOfWeaponryDesc,"Груда оружия и патронов, разбросанных по земле.\n\n[808080]Это сверхпримитивное средство хранения всегда требует немного времени для доступа и должно быть заменено правильным хранилищем для правильного доступа.[-]"
,
AL_Block_SecureStorageMedicalBox,[ffc070]Медицинский ящик[-]
AL_Block_SecureStorageMedicalBoxDesc,"Коробка, которая недвусмысленно выражает смысл своего существования."
,
AL_Block_WorkstationDyeTub,[ffc070]Ванна с красителем[-]
AL_Block_WorkstationDyeTubDesc,"Наконец-то я могу показать, насколько я [i]потрясающий[/i] человек."
,
AL_Block_WorkstationMortarAndPestle,[ffc070]Ступка и пестик[-]
AL_Block_WorkstationMortarAndPestleDesc,Оригинальный помол.
,
AL_Block_WorkstationAdvancedFurnace,[ffc070]Усовершенствованная печь[-]
AL_Block_WorkstationAdvancedFurnaceDesc,"Эта передовая электропечь способна создавать температуру, необходимую для выплавки металлов, необходимых для производства суперсплавов, совершенно без необходимости сжигать традиционное топливо."
,
AL_Block_WorkstationKiln,[ffc070]Печь[-]
AL_Block_WorkstationKilnDesc,"Глиняная [ffc070]печь[-]. С помощью формы, большого количества тепла и некоторого времени вы сможете получить кирпичи, необходимые для создания прочного основания."
,
AL_Block_WorkstationResearchDesk,[ffc070]Исследовательский стол[-]
AL_Block_WorkstationResearchDeskDesc,"Место, где можно потереть подбородок или погладить бороду, задумчиво окидывая комнату пустым взглядом, видимо, в рамках попытки извлечь ценные знания из дублирующей и ненужной литературы."
,
AL_Block_CartographyTable,[ffc070]Картографический стол[-]
AL_Block_CartographyTableDesc,"[ffc070]Картографический стол[-] - отличное место для того, чтобы сосредоточенно позировать, указывая на карту, и почувствовать себя военным генералом. Кроме того, это место, где можно сохранить и поделиться своими достижениями в изучении карты."
,
AL_Block_TerrOreLimestone,[ffc070]Блок известняковой руды[-] (Предмет разработчиков)
AL_Block_TerrOreLimestoneDesc,Блок местности с известняковой рудой.
,
AL_Block_TerrOreGarnierite,[ffc070]Блок гарниеритовой руды[-] (Предмет разработчиков)
AL_Block_TerrOreGarnieriteDesc,Источник никеля.
,
AL_Block_TerrOreChromite,[ffc070]Блок хромитовой руды[-] (Предмет разработчиков)
AL_Block_TerrOreChromiteDesc,Источник хрома.
,
AL_Block_TerrOreGalena,[ffc070]Блок галенитовой руды[-] (Предмет разработчиков)
AL_Block_TerrOreGalenaDesc,Блок местности с галенитовой рудой.
,
AL_Block_TerrOreChalcopyrite,[ffc070]Блок халькопиритовой руды[-] (Предмет разработчиков)
AL_Block_TerrOreChalcopyriteDesc,Блок местности с халькопиритовой рудой.
,
AL_Block_TerrOreAnthracite,[ffc070]Блок антрацитовой руды[-] (Предмет разработчиков)
AL_Block_TerrOreAnthraciteDesc,Блок местности с антрацитовой рудой.
,
AL_Block_TerrAnthracite,[ffc070]Антрацитовый блок[-] (Предмет разработчиков)
AL_Block_TerrAnthraciteDesc,Глыба антрацита. Отмечает антрацитовые жилы.
,
AL_Block_GarnieriteBoulder,[ffc070]Гарниеритовый валун[-] (Блок разработчиков)
AL_Block_GarnieriteBoudlerDesc,Источник никеля.
,
AL_Block_ChromiteBoulder,[ffc070]Хромитовый валун[-] (Блок разработчиков)
AL_Block_ChromiteBoulderDesc,Источник хрома.
,
AL_Block_ChalcopyriteBoulder,[ffc070]Халкопировый валун[-] (Блок разработчиков)
AL_Block_ChalcopyriteBoulderDesc,Источник меди.
,
AL_Block_AnthraciteBoulder,[ffc070]Антрацитовый валун[-] (Блок разработчиков)
AL_Block_AntrachiteBoulderDesc,Отмечает антрацитовые жилы.
,
AL_Block_CassiteriteBoulder,[ffc070]Касситеритовый валун[-] (Блок разработчиков)
AL_Block_CassiteriteBoulderDesc,Отмечает кассетеритовые жилы.
,
AL_Block_TreeStumpNew,[ffc070]Пень нового дерева[-] (Блок разработчиков)
AL_Block_StumpNewDesc,"Новый пень, только что образовавшийся после вырубки дерева. Вырастет через несколько дней."
,
AL_Block_TreeStumpMatureHiveNo,[ffc070]Зрелый пень[-]
AL_Block_TreeStumpMatureHiveNoDesc,Созревший простой пень.
,
AL_Block_TreeStumpMatureHiveYes,[ffc070]Зрелый пень с пчелиным ульем[-] ( Блок разработчиков)
AL_Block_TreeStumpMatureHiveYesDesc,"Зрелый пень, в котором находится пчелиный улей."
,
AL_Block_SyphiaSpore,[ffc070]Споры сифии[-] (Блок разработчиков)
AL_Block_SyphiaSporeDesc,"Этот загадочный гриб каким-то образом скрывается от посторонних глаз в дневное время. Если для того, чтобы найти его, нужно отправиться в темноту, остаётся только надеяться, что в нём есть что-то такое, ради чего стоит подвергать себя опасности, блуждая по ночам."
,
AL_Block_WoodenLog,[ffc070]Деревянное полено[-]
AL_Block_WoodenLogDesc,"Целое [ffc070]деревянное полено[-]. Оно громоздкое, громоздкое и очень тяжелое, но каким-то образом вам удается уместить в рюкзаке довольно много таких поленьев. [ffc070]Деревянные поленья[-] могут быть переработаны в [ffc070]обработанную древесину[-] для более широкого применения в ремесле и строительстве."
,
AL_Block_WorkstationDistillery,[ffc070]Винокурня[-]
AL_Block_WorkstationDistilleryDesc,"Функциональная [ffc070]винокурня[-] - пожалуй, главное оружие против обезвоживания перед лицом зомби-вируса экстремофилов, позволяющее производить чистую, дистиллированную воду... и выпивку, что тоже неплохо."
,
AL_Block_WorkstationBloomery,[ffc070]Домница[-]
AL_Block_WorkstationBloomeryDesc,"Примитивная, но работоспособная [ffc070] домница[-]."
,
AL_Block_GunVendingMachine,[ffc070]Торговый автомат с оружием[-]
# }}},
,
# New Game {{{,
AL_LK_IntroText1,Прежнего мира больше нет.
AL_LK_IntroText2,Наши былые личности мертвы.
AL_LK_IntroText3,Это наш новый мир.
AL_LK_IntroText4,Это наша...
AL_LK_IntroTitle,Жизнь после (Afterlife)
,
AL_LK_Begin,Начать
AL_LK_EquipmentHeader,[ffb266]Снаряжение[-]
AL_LK_SkillsHeader,[66ff7f]Навыки[-]
AL_LK_PerkHeader,[8080ff]Умение[-]
,
AL_LK_NewGameStartText,"Это мод не для слабаков.\n\nС самого начала он был разработан таким образом, что в первую очередь он представляет собой вызов для опытных игроков [c00000ff]7 Days To Die[-].\n\n Если вы считаете это приемлемым, кликайте на кнопку ниже."
,
AL_LK_NormieColoured,[ffffff]Обычный чел[-]
AL_LK_SheriffColoured,[00abff]Шериф[-]
AL_LK_CrawlerColoured,[c76c05]Кутила[-]
AL_LK_SavageColoured,[91AA49]Дикарь[-]
AL_LK_HoodlumColoured,[f6d900]Хулиган[-]
AL_LK_PrepperColoured,[9e9894]Выживальщик[-]
AL_LK_WobblyColoured,[e53322]Работяга[-]
AL_LK_EnigmaColoured,[944dff]Загадочная личность[-]
AL_LK_Normie,Обычный чел
AL_LK_Sheriff,Шериф
AL_LK_Crawler,Кутила
AL_LK_Savage,Дикарь
AL_LK_Hoodlum,Хулиган
AL_LK_Prepper,Выживальщик
AL_LK_Wobbly,Работяга
,
AL_LK_NormieText,"Ваша жизнь была стабильной и комфортной, но довольно скучной. Вы не понимали тех, кто ей завидовал. Вы часто задавались вопросом, не зря ли вы тратите свою жизнь, работая, чтобы содержать семью.\n\nАпокалипсис заставил вас измениться, и, несмотря на опасность, угрожающую жизни, вы (просто тихо) радуетесь этому. Мир лежит в руинах, но вы чувствуете, что ваша жизнь вот-вот начнётся."
AL_LK_NormieEquipment,"Презентабельный вид, подходящий для собеседования, немного старых денег, наручные часы и приличный рюкзак."
AL_LK_NormieEffects,[ff8040]Снаряжение:[-]\n- Деловой костюм для собеседования.\n- Приличная пачка денег старого мира.\n- Стильные наручные часы.\n- Очень практичный рюкзак.\n\n[ffff40]Начальные навыки:[-]\n- 20 плавание.\n- 20 атлетика.\n\n[8080ff]Особые эффекты:[-]\n[40ff40]- На 25% более выгодные предложения в торговых автоматах.[-]
,
AL_LK_SheriffText,"Вы поклялись соблюдать закон, поддерживать справедливость, а также обеспечивать город потоком доходов, получаемых в результате нарушений, для пополнения городской казны.\n\nТеперь бумажной работы меньше, и ваши тренинги по политкорректности и деэскалации конфликта не кажутся такими уж полезными, но, по крайней мере, вы можете стрелять в зомби."
